feature,raw_observed_values,raw_coverage,post_ffill_observed_values,post_ffill_coverage,total_slots
bilirubin,1089,0.01748554913294798,7702,0.12366730892742453,62280
bun,5018,0.08057161207450225,31345,0.5032915863840719,62280
creatinine,5030,0.08076429030186255,31350,0.5033718689788054,62280
dbp,56830,0.9124919717405267,60465,0.9708574181117534,62280
glucose,13040,0.20937700706486834,41716,0.6698137443802183,62280
heart_rate,59521,0.9557000642260758,60890,0.9776814386640976,62280
hematocrit,5718,0.0918111753371869,32883,0.5279865125240848,62280
hemoglobin,4524,0.07263969171483622,29104,0.46730892742453434,62280
inr,3134,0.05032113037893385,20561,0.33013808606294154,62280
lactate,1119,0.017967244701348747,6831,0.10968208092485549,62280
mbp,57089,0.91665061014772,60461,0.9707931920359666,62280
pco2,1495,0.024004495825305075,7974,0.12803468208092486,62280
ph,1681,0.02699100834938985,8907,0.1430154142581888,62280
platelets,4684,0.075208734746307,29980,0.4813744380218369,62280
po2,1495,0.024004495825305075,7974,0.12803468208092486,62280
potassium,5604,0.08998073217726398,33049,0.5306518946692357,62280
resp_rate,59217,0.9508188824662813,60835,0.9767983301220295,62280
sbp,56869,0.9131181759794477,60469,0.9709216441875401,62280
sodium,5435,0.08726718047527296,32446,0.5209698137443802,62280
spo2,58427,0.9381342324983943,60699,0.9746146435452794,62280
temperature_c,16812,0.2699421965317919,53873,0.8650128452151573,62280
wbc,4518,0.07254335260115607,29110,0.4674052665382145,62280
