horizon,model,metric,ci_2.5,ci_97.5,valid_bootstrap_samples,test_positives
4,rnn,auroc,0.4729,0.8229,500,9
4,rnn,aupr,0.0045,0.1208,500,9
4,rnn,f1,0.0,0.0542,500,9
4,rnn,recall,0.0,0.5,500,9
4,lstm,auroc,0.395,0.7635,500,9
4,lstm,aupr,0.0037,0.0213,500,9
4,lstm,f1,0.0,0.0447,500,9
4,lstm,recall,0.0,0.5556,500,9
4,cnn_transformer,auroc,0.3422,0.6007,500,9
4,cnn_transformer,aupr,0.0028,0.0109,500,9
4,cnn_transformer,f1,0.0,0.0,500,9
4,cnn_transformer,recall,0.0,0.0,500,9
4,lstm_transformer,auroc,0.282,0.6474,500,9
4,lstm_transformer,aupr,0.0028,0.0162,500,9
4,lstm_transformer,f1,0.0,0.0,500,9
4,lstm_transformer,recall,0.0,0.0,500,9
8,rnn,auroc,0.0601,0.8568,495,4
8,rnn,aupr,0.0008,0.0139,495,4
8,rnn,f1,0.0,0.0,500,4
8,rnn,recall,0.0,0.0,500,4
8,lstm,auroc,0.1947,0.9757,495,4
8,lstm,aupr,0.0014,0.0597,495,4
8,lstm,f1,0.0,0.0776,500,4
8,lstm,recall,0.0,1.0,500,4
8,cnn_transformer,auroc,0.3588,0.6642,495,4
8,cnn_transformer,aupr,0.0013,0.0088,495,4
8,cnn_transformer,f1,0.0,0.0,500,4
8,cnn_transformer,recall,0.0,0.0,500,4
8,lstm_transformer,auroc,0.2388,0.5006,495,4
8,lstm_transformer,aupr,0.0012,0.0067,495,4
8,lstm_transformer,f1,0.0,0.0,500,4
8,lstm_transformer,recall,0.0,0.0,500,4
